UMAP1_PC50,UMAP2_PC50,UMAP1_PC75,UMAP2_PC75,UMAP1_PC100,UMAP2_PC100,UMAP1_PC125,UMAP2_PC125,UMAP1_PC150,UMAP2_PC150,UMAP1_PC175,UMAP2_PC175
-1.768144,-6.0469465,9.180553,17.492905,10.930303,18.24806,18.415585,15.332307,-2.791826,-7.0114255,-4.6564717,-7.109458
-1.3259088,-5.4091973,8.640411,16.763895,10.30515,17.66662,17.822893,15.066629,-2.0923162,-6.481418,-4.181453,-6.428644
-3.5324008,-0.8676171,11.89589,13.322712,13.168336,14.182223,18.784575,10.597546,-4.4003067,-2.964736,-6.557225,-3.5797765
-2.223432,-3.1106038,10.224859,15.346965,11.765854,16.205826,18.57006,13.113666,-2.9258533,-4.478188,-5.2614775,-4.8998632
-0.21040854,-5.312531,7.6269903,16.326738,9.278927,17.40047,16.56732,15.148202,-0.07231193,-5.2458277,-2.6399024,-4.989316
-2.6042953,-3.5604267,10.707342,15.578202,12.126564,16.344305,18.929127,12.861537,-3.1568563,-4.651857,-5.9021835,-5.291488
-0.9198005,-2.165666,8.807689,13.845562,10.136079,14.85716,16.476593,12.664784,-1.4890586,-3.275774,-4.047562,-2.9848049
0.51180685,-2.0278656,7.850716,13.203315,8.685968,14.151263,15.41202,12.217608,-0.70598775,-2.0053875,-3.8588886,-2.1780605
-1.6058519,-6.2258396,8.803573,17.704447,10.442067,18.41253,18.121134,15.57211,-2.444171,-7.260803,-4.44666,-7.3862014
0.89937097,-2.0346625,7.325398,13.592637,8.802359,13.731068,15.139224,12.538577,-0.6159245,-1.5045533,-3.0741515,-1.9009672
-3.6112344,-3.5091631,11.470334,15.540279,12.958416,16.668116,19.509413,12.923132,-4.3622046,-5.320908,-6.585917,-5.9149466
-3.5726876,-2.7266753,12.058786,14.922539,13.810364,15.62053,20.111315,11.885131,-4.980094,-4.1815934,-7.52412,-5.0462675
-2.0332954,-5.0387106,9.711193,16.836945,11.335809,17.536066,18.612469,14.312154,-2.841862,-5.9781537,-4.960856,-6.3609586
2.2880058,-4.5060964,5.4657803,14.676411,6.9395256,16.322401,13.929161,14.604378,1.4695239,-3.3448904,-1.4890504,-3.011164
-3.328596,-0.52095276,11.13881,12.518699,12.805363,13.328653,18.317974,10.282514,-3.865601,-2.458211,-6.8445835,-3.0065806
-1.388078,-4.410984,8.917231,15.936637,10.392705,16.855047,17.813097,14.223212,-3.1754673,-6.0046306,-5.315141,-6.2008896
